BldgArea,BldgDepth,BuiltFAR,CommFAR,FacilFAR,Lot,LotArea,LotDepth,NumBldgs,NumFloors,OfficeArea,ResArea,ResidFAR,RetailArea,Complaint Type
43000.0,87.0,2.46,,4.8,17,17500.0,100.0,1.0,6.0,,43000.0,3.44,,0
1260.0,40.0,0.53,,1.0,24,2395.0,98.42,1.0,1.0,,720.0,0.6,,0
2862.0,59.0,1.24,,2.0,24,2317.0,87.42,1.0,2.0,,1908.0,0.9,,1
2312.0,52.0,0.92,,2.0,19,2500.0,100.0,1.0,2.0,,2312.0,1.25,,0
2200.0,55.0,1.22,,2.0,28,1800.0,90.0,1.0,2.0,,2200.0,0.9,,0
2340.0,39.0,0.94,,4.8,134,2500.0,125.0,1.0,3.0,,2340.0,3.44,,0
992.0,31.0,0.57,,2.0,43,1748.0,109.25,1.0,2.0,,992.0,0.9,,0
21218.0,94.0,3.54,,4.2,55,6000.0,120.0,1.0,5.0,,21218.0,4.2,,0
2770.0,49.0,1.1,,2.0,47,2513.0,100.5,1.0,2.0,,1960.0,0.9,,0
2966.0,61.0,1.52,,2.0,77,1950.0,75.0,1.0,3.0,,2966.0,1.25,,0
1390.0,32.0,0.28,,2.0,36,5013.0,100.25,2.0,2.0,,1390.0,0.9,,0
3243.0,52.0,1.05,,1.0,1403,3095.0,95.0,1.0,2.5,,3243.0,0.6,,0
1589.0,34.0,0.75,,2.0,66,2106.0,116.58,1.0,2.0,,1156.0,0.9,,0
2340.0,23.0,0.27,,1.0,346,8602.0,134.84,1.0,2.5,,1702.0,0.5,,0
2280.0,38.0,1.16,,2.0,71,1967.0,94.94,1.0,3.0,,2280.0,0.9,,1
17400.0,87.0,3.48,,2.0,80,5000.0,100.0,1.0,4.0,,17400.0,0.9,,0
1216.0,34.5,0.33,,2.0,54,3654.0,122.04,2.0,2.5,,1216.0,0.9,,1
2155.0,38.0,0.86,,2.0,43,2500.0,100.0,1.0,1.67,,1420.0,0.9,,0
