BldgArea,BldgDepth,BuiltFAR,CommFAR,FacilFAR,Lot,LotArea,LotDepth,NumBldgs,NumFloors,OfficeArea,ResArea,ResidFAR,RetailArea,Complaint Type
1998.0,37.0,1.11,,1.0,42,1800.0,100.0,1.0,3.0,,1998.0,0.6,,0
3252.0,55.0,1.63,,4.8,20,2000.0,100.0,1.0,2.0,,2168.0,3.44,,0
3294.0,50.0,1.28,,2.0,27,2575.0,103.0,1.0,2.0,,2196.0,1.25,,0
5005.0,55.0,0.99,2.0,4.0,51,5041.0,91.65,1.0,1.0,,,4.0,,0
,,,,6.5,82,2500.0,100.0,,,,,6.02,,0
1585.0,34.0,0.36,,1.0,4,4450.0,89.0,1.0,1.5,,1585.0,0.6,,0
2310.0,55.0,1.33,,4.8,31,1743.0,83.0,1.0,2.0,,2310.0,2.43,,0
1690.0,40.0,0.67,,1.0,19,2532.0,103.0,1.0,2.0,,1540.0,0.6,,0
179920.0,47.0,2.03,,4.8,15,88495.0,190.0,1.0,13.0,,179920.0,3.44,,0
1732.0,35.0,0.96,,2.0,48,1800.0,100.0,1.0,2.0,,1260.0,0.9,,0
2221.0,25.0,0.17,,1.0,18,13010.0,144.42,1.0,2.5,,2221.0,0.5,,0
1548.0,43.5,0.65,,2.0,42,2375.0,95.0,1.0,2.0,,1548.0,0.9,,0
1600.0,40.0,1.1,,4.8,145,1450.0,72.52,1.0,2.0,,1600.0,2.43,,0
76800.0,88.0,3.41,,4.8,28,22500.0,100.0,1.0,6.0,,76000.0,3.44,800.0,0
1178.0,27.0,0.24,,2.0,14,5000.0,100.0,2.0,2.5,,1178.0,0.9,,0
3150.0,50.0,1.5,,2.0,37,2100.0,100.0,1.0,3.0,,3150.0,1.25,,0
16820.0,83.5,3.31,,4.8,48,5075.0,100.0,1.0,5.0,,16820.0,3.44,,0
2750.0,55.0,0.55,,4.8,15,5000.0,100.0,1.0,1.0,,,3.44,2750.0,0
